scramble,recover,time,step
10 1 7 14 4 10 13 9 14 9 15 5 10 1 17 0 9 4 7,12 15 2 9 8 15 3 16 12 3 13 4 7 4 6 5 13 3 12 5 3 10 4 9 4 10 4 9 5 5 3 9 4 10 4 9 4 10 3 9 4 10 3 5 6 16 8 12 8 15 8 13 6 5 13 10 3 9 3 10 4 9 10 6 3 10 16 9 15 9 4 10 3 15 7 9 3 7 9 13 6 10 6 10 17 7 9 5 5 9 12 10 4 10 3 9 13 4 6 4 7 4 13 3 12 3 7 13 4 12 3 6 13 3 13 4 13 4 13 3 12 3 14 4,23132,124
1 12 7 5 13 9 2 13 0 17 5 8 4 9 17 0 10 15,16 6 3 14 0 10 12 1 9 5 16 4 15 5 3 7 5 6 4 13 3 12 5 12 3 13 3 12 3 13 15 3 16 3 9 3 10 15 3 16 5 15 4 16 4 13 10 15 9 12 16 4 16 3 15 5 3 0 16 4 15 3 1 17 3 16 3 15 4 15 4 17 4,13025,71
17 9 1 17 8 12 5 16 7 4 15 1 7 4 12 6 12 7 0 16,12 0 9 15 5 8 5 4 12 3 13 3 6 4 8 3 6 3 16 5 15 4 16 3 15 3 6 3 7 3 6 3 7 3 10 16 6 15 9 16 7 15 5 3 7 4 6 15 7 4 6 3 6 16 8 3 6,13060,57
6 3 12 5 9 0 7 0 15 1 16 10 14 2 8 16 8 14,12 9 15 6 5 14 3 0 5 4 3 4 15 10 3 9 16 5 16 3 15 5 16 3 15 3 10 4 9 4 12 3 13 5 12 0 13 3 12 1 7 13 6 5 13 4 12 4 13 5 12 7 13 4 12 3 6 3 7 13 3 12 3 13 4 12 6 13 4 12 3 12 7 13 6 4,11264,76
6 13 9 14 9 17 4 6 13 11 13 5 12 4 14 1 15 8,9 13 11 1 14 2 5 15 5 16 4 15 3 16 13 4 12 5 3 5 9 4 10 5 9 4 10 5 10 5 9 3 10 4 9 16 4 7 3 6 4 7 3 6 15 3 11 4 10 4 9 3 11 10 3 9 4 9,7873,59
15 9 12 9 16 5 6 16 8 12 8 3 6 3 6 3 16 7,10 13 17 6 4 10 15 9 16 9 4 10 5 15 10 3 9 16 5 3 12 4 13 6 4 7 5 10 5 9 5 10 3 9 5 10 4 3 4 9 3 10 3 9 12 3 13 10 4 9 3 11 17 10 13 9 17 10 12 10 4,10683,61
7 1 14 1 10 17 0 11 0 12 10 15 4 9 3 16 1 10 2 14,6 14 4 6 16 7 1 3 3 4 10 5 9 5 10 3 9 4 15 16 4 9 3 10 3 16 4 15 4 5 1 13 4 12 3 0 3 13 5 12 4 6 3 7 3 4 12 6 13 15 3 16 4 12 7 13 3 14 8 13 5 13 5 12 7 13 4 12 3 12 7 14 3,11795,72
0 6 0 11 5 13 11 16 2 6 16 6 5 13 1 10 14 6 16 4,12 17 10 16 12 7 13 0 16 3 5 6 16 7 15 6 3 7 10 5 9 4 12 3 13 3 9 4 10 3 9 3 10 4 7 5 6 3 7 4 6 5 6 10 6 15 7 15 6 17 7 15 7 9 5 6 3 15 7 4 6 3 6 16 8 3 6 3 7 4 6 4 7 3,10864,73
9 3 7 4 11 2 6 5 11 16 7 3 6 14 10 2 8 2,0 3 12 7 11 1 5 13 3 12 5 13 3 12 4 10 3 9 4 10 3 9 7 5 6 3 10 4 11 5 10 5 10 3 9 5 12 3 13 3 15 11 13 10 12 9 13 10 12 10 16 3 14 11 13 7 12 11 13 6 13 3,8515,62
11 0 14 1 7 1 6 12 3 6 1 7 2 12 0 10 13 1 15,3 15 10 12 3 7 0 16 7 5 6 5 6 3 7 5 10 4 9 3 9 5 10 4 9 5 10 5 4 13 3 12 3 13 3 12 4 13 3 12 3 12 7 13 4 12 6 13 7 3 6 12 3 6 13 4 12 3 12 7 14 3 12 3 13 4 12 4 13,11101,69
11 1 9 15 8 3 17 11 12 9 3 6 4 16 1 15 6 12 2 9,4 10 15 11 0 6 0 10 3 10 2 3 7 3 6 4 7 4 6 3 6 5 7 4 16 5 15 5 16 3 15 5 4 9 0 10 3 9 1 10 4 10 3 9 5 6 17 10 16 9 16 7 11 1 10 0 10 14 6 4 7 14 5,10065,63
15 2 10 1 11 1 11 14 10 1 6 1 8 14 11 14 0 17 4,11 6 12 8 1 7 3 1 5 4 16 3 15 3 12 3 13 4 9 4 10 4 9 4 10 3 9 4 10 3 7 3 6 4 6 5 7 4 15 3 16 3 15 4 16 3 4 7 4 13 3 12 6 3 17 4 16 4 15 3 17 16 3 15 4 15,9703,65
14 7 4 7 17 7 3 10 5 14 5 6 4 16 5 17 3 8,17 10 16 5 3 14 6 1 12 3 12 13 2 12 4 13 5 10 4 9 3 4 9 4 10 13 4 12 15 3 16 3 15 4 16 5 16 3 15 3 16 3 15 4 16 3 15 4 12 9 6 7 13 3 12 10 14 9 12 4 13 10 12 16 4 15 4 15 3 17 3 15 4 15 4 16 5,12863,77
